virtual_time,trader_id,trader_type,balance
1204.78,B06,ZIP,291.0
1204.78,B07,RL,403.0
1204.78,B08,GVWY,649.0
1204.78,B09,SHVR,1179.0
1204.78,S00,SHVR,1557.0
1204.78,S01,ZIP,1314.0
1204.78,S02,GVWY,721.0
1204.78,S03,ZIC,354.0
1204.78,S04,GVWY,58.0
1204.78,S05,ZIP,48.0
1204.78,S06,ZIC,0.0
1204.78,S07,SHVR,0.0
1265.11,B00,GA,0.0
1265.11,B01,ZIC,0.0
1265.11,B02,ZIC,0.0
1265.11,B03,ZIP,0.0
1265.11,B04,GVWY,0.0
1265.11,B05,SHVR,54.0
1265.11,B06,ZIP,320.0
1265.11,B07,RL,441.0
1265.11,B08,GVWY,673.0
1265.11,B09,SHVR,1217.0
1265.11,S00,SHVR,1628.0
1265.11,S01,ZIP,1372.0
1265.11,S02,GVWY,762.0
1265.11,S03,ZIC,362.0
1265.11,S04,GVWY,58.0
1265.11,S05,ZIP,48.0
1265.11,S06,ZIC,0.0
1265.11,S07,SHVR,0.0
1325.69,B00,GA,0.0
1325.69,B01,ZIC,0.0
1325.69,B02,ZIC,0.0
1325.69,B03,ZIP,0.0
1325.69,B04,GVWY,0.0
1325.69,B05,SHVR,61.0
1325.69,B06,ZIP,346.0
1325.69,B07,RL,473.0
1325.69,B08,GVWY,720.0
1325.69,B09,SHVR,1315.0
1325.69,S00,SHVR,1695.0
1325.69,S01,ZIP,1502.0
1325.69,S02,GVWY,799.0
1325.69,S03,ZIC,366.0
1325.69,S04,GVWY,58.0
1325.69,S05,ZIP,48.0
1325.69,S06,ZIC,0.0
1325.69,S07,SHVR,0.0
1386.12,B00,GA,0.0
1386.12,B01,ZIC,0.0
1386.12,B02,ZIC,0.0
1386.12,B03,ZIP,0.0
1386.12,B04,GVWY,0.0
1386.12,B05,SHVR,61.0
1386.12,B06,ZIP,362.0
1386.12,B07,RL,496.0
1386.12,B08,GVWY,756.0
1386.12,B09,SHVR,1378.0
1386.12,S00,SHVR,1770.0
1386.12,S01,ZIP,1570.0
1386.12,S02,GVWY,819.0
1386.12,S03,ZIC,367.0
1386.12,S04,GVWY,58.0
1386.12,S05,ZIP,51.0
1386.12,S06,ZIC,0.0
1386.12,S07,SHVR,0.0
1446.51,B00,GA,0.0
1446.51,B01,ZIC,0.0
1446.51,B02,ZIC,0.0
1446.51,B03,ZIP,0.0
1446.51,B04,GVWY,0.0
1446.51,B05,SHVR,61.0
1446.51,B06,ZIP,379.0
1446.51,B07,RL,501.0
1446.51,B08,GVWY,798.0
1446.51,B09,SHVR,1440.0
1446.51,S00,SHVR,1852.0
1446.51,S01,ZIP,1646.0
1446.51,S02,GVWY,859.0
1446.51,S03,ZIC,367.0
1446.51,S04,GVWY,58.0
1446.51,S05,ZIP,51.0
1446.51,S06,ZIC,0.0
1446.51,S07,SHVR,0.0
1506.58,B00,GA,0.0
1506.58,B01,ZIC,0.0
1506.58,B02,ZIC,0.0
1506.58,B03,ZIP,0.0
1506.58,B04,GVWY,0.0
1506.58,B05,SHVR,64.0
1506.58,B06,ZIP,399.0
1506.58,B07,RL,522.0
1506.58,B08,GVWY,810.0
1506.58,B09,SHVR,1477.0
1506.58,S00,SHVR,1928.0
1506.58,S01,ZIP,1677.0
1506.58,S02,GVWY,889.0
1506.58,S03,ZIC,376.0
1506.58,S04,GVWY,58.0
