trial0000026, GDX, 1131.0, 10, 113.10, 5.40, 0.00015193, 0.00000192, ZIP, 1678.0, 10, 167.80, 6.00, 0.00000356, 0.00000508
trial0000027, GDX, 3018.0, 10, 301.80, 9.10, 0.00016179, 0.00000202, ZIP, 499.0, 10, 49.90, 5.30, 0.00000377, 0.00000531
trial0000028, GDX, 1614.0, 10, 161.40, 6.20, 0.00016045, 0.00000198, ZIP, 1180.0, 10, 118.00, 5.20, 0.00000374, 0.00000559
trial0000029, GDX, 1707.0, 10, 170.70, 5.90, 0.00017059, 0.00000200, ZIP, 1024.0, 10, 102.40, 6.50, 0.00000379, 0.00000554
trial0000030, GDX, 1024.0, 10, 102.40, 5.10, 0.00014021, 0.00000189, ZIP, 1888.0, 10, 188.80, 7.30, 0.00000355, 0.00000470
trial0000031, GDX, 1419.0, 10, 141.90, 4.90, 0.00015601, 0.00000187, ZIP, 1649.0, 10, 164.90, 9.70, 0.00000340, 0.00000455
trial0000032, GDX, 2000.0, 10, 200.00, 7.00, 0.00014492, 0.00000200, ZIP, 1002.0, 10, 100.20, 5.00, 0.00000370, 0.00000499
trial0000033, GDX, 1361.0, 10, 136.10, 4.60, 0.00014751, 0.00000210, ZIP, 1462.0, 10, 146.20, 6.00, 0.00000386, 0.00000576
trial0000034, GDX, 1991.0, 10, 199.10, 8.00, 0.00018362, 0.00000214, ZIP, 1119.0, 10, 111.90, 5.60, 0.00000368, 0.00000525
trial0000035, GDX, 1339.0, 10, 133.90, 5.20, 0.00014583, 0.00000209, ZIP, 1195.0, 10, 119.50, 5.40, 0.00000409, 0.00000599
trial0000036, GDX, 1414.0, 10, 141.40, 5.20, 0.00016495, 0.00000203, ZIP, 1416.0, 10, 141.60, 6.40, 0.00000363, 0.00000556
trial0000037, GDX, 845.0, 10, 84.50, 3.70, 0.00016587, 0.00000204, ZIP, 2053.0, 10, 205.30, 9.30, 0.00000369, 0.00000514
trial0000038, GDX, 837.0, 10, 83.70, 3.60, 0.00015666, 0.00000197, ZIP, 1956.0, 10, 195.60, 8.80, 0.00000348, 0.00000487
trial0000039, GDX, 1302.0, 10, 130.20, 4.30, 0.00013777, 0.00000184, ZIP, 1870.0, 10, 187.00, 8.70, 0.00000354, 0.00000482
trial0000040, GDX, 1454.0, 10, 145.40, 5.40, 0.00016029, 0.00000194, ZIP, 1437.0, 10, 143.70, 7.20, 0.00000369, 0.00000554
trial0000041, GDX, 732.0, 10, 73.20, 2.90, 0.00012556, 0.00000199, ZIP, 2104.0, 10, 210.40, 8.90, 0.00000353, 0.00000502
trial0000042, GDX, 1239.0, 10, 123.90, 4.50, 0.00015682, 0.00000193, ZIP, 1495.0, 10, 149.50, 8.50, 0.00000358, 0.00000492
trial0000043, GDX, 970.0, 10, 97.00, 4.10, 0.00015477, 0.00000196, ZIP, 2057.0, 10, 205.70, 10.70, 0.00000340, 0.00000440
