B00, 100
B01, Trade, 3344.878, 119, B01, S06, 1
B01, Trade, 3354.171, 122, B01, S03, 1
B01, Trade, 3362.341, 131, B01, S18, 1
B01, Trade, 3389.634, 126, B01, S07, 1
B01, Trade, 3406.195, 123, B01, S04, 1
B01, Trade, 3416.927, 127, S18, B01, 1
B01, Trade, 3471.512, 118, B01, S01, 1
B01, Trade, 3496.463, 124, S13, B01, 1
B01, Trade, 3511.878, 113, B01, S13, 1
B01, Trade, 3573.220, 115, S14, B01, 1
B02, 100
B02, Trade, 104.220, 159, B02, S03, 1
B02, Trade, 116.780, 168, B02, S13, 1
B02, Trade, 147.878, 170, B02, S10, 1
B02, Trade, 163.415, 160, B02, S06, 1
B02, Trade, 255.659, 167, S11, B02, 1
B02, Trade, 268.171, 170, S13, B02, 1
B02, Trade, 317.439, 148, B02, S06, 1
B02, Trade, 344.634, 163, S12, B02, 1
B02, Trade, 359.902, 168, S17, B02, 1
B02, Trade, 399.049, 174, B02, S11, 1
B02, Trade, 421.439, 170, S13, B02, 1
B02, Trade, 449.951, 159, B02, S09, 1
B02, Trade, 461.415, 153, B02, S17, 1
B02, Trade, 492.146, 168, S07, B02, 1
B02, Trade, 533.488, 155, B02, S08, 1
B02, Trade, 563.927, 151, B02, S17, 1
B02, Trade, 570.073, 162, B02, S05, 1
B02, Trade, 584.293, 158, S09, B02, 1
B02, Trade, 588.293, 163, S11, B02, 1
B02, Trade, 641.317, 167, S05, B02, 1
B02, Trade, 697.683, 173, S13, B02, 1
B02, Trade, 709.902, 152, B02, S01, 1
B02, Trade, 744.171, 178, S13, B02, 1
B02, Trade, 756.000, 169, S05, B02, 1
B02, Trade, 768.512, 179, B02, S05, 1
B02, Trade, 815.415, 184, S09, B02, 1
B02, Trade, 830.610, 186, S05, B02, 1
B02, Trade, 861.610, 176, B02, S14, 1
B02, Trade, 956.463, 175, S11, B02, 1
B02, Trade, 986.073, 174, B02, S17, 1
B02, Trade, 1072.366, 177, S14, B02, 1
B02, Trade, 1081.366, 189, B02, S09, 1
B02, Trade, 1104.024, 176, S18, B02, 1
B02, Trade, 1113.122, 174, S04, B02, 1
B02, Trade, 1150.049, 172, S14, B02, 1
B02, Trade, 1177.415, 178, S18, B02, 1
B02, Trade, 1193.488, 170, B02, S14, 1
B02, Trade, 1231.073, 179, S00, B02, 1
B02, Trade, 1263.805, 153, B02, S14, 1
B02, Trade, 1283.366, 174, S11, B02, 1
B02, Trade, 1319.293, 171, S07, B02, 1
B02, Trade, 1334.073, 160, S06, B02, 1
B02, Trade, 1365.439, 168, S13, B02, 1
B02, Trade, 1371.000, 177, B02, S14, 1
B02, Trade, 1418.098, 171, S00, B02, 1
B02, Trade, 1447.756, 172, S07, B02, 1
B02, Trade, 1465.293, 165, S05, B02, 1
B02, Trade, 1528.415, 184, B02, S11, 1
B02, Trade, 1551.878, 154, S15, B02, 1
B02, Trade, 1597.951, 169, S12, B02, 1
B02, Trade, 1615.707, 157, S11, B02, 1
B02, Trade, 1621.171, 177, S07, B02, 1
B02, Trade, 1700.244, 180, S13, B02, 1
B02, Trade, 1741.732, 163, B02, S18, 1
B02, Trade, 1844.146, 160, S17, B02, 1
B02, Trade, 1898.780, 154, S14, B02, 1
B02, Trade, 1917.439, 173, S04, B02, 1
B02, Trade, 1925.293, 171, B02, S04, 1
B02, Trade, 1946.268, 168, S14, B02, 1
B02, Trade, 1948.171, 145, S06, B02, 1
B02, Trade, 1980.195, 171, S05, B02, 1
B02, Trade, 1987.341, 173, B02, S19, 1
B02, Trade, 2086.512, 142, S07, B02, 1
B02, Trade, 2118.268, 145, S13, B02, 1
B02, Trade, 2138.561, 141, S14, B02, 1
B02, Trade, 2147.098, 122, S18, B02, 1
B02, Trade, 2172.073, 144, B02, S00, 1
B02, Trade, 2227.683, 153, S14, B02, 1
B02, Trade, 2250.854, 150, S06, B02, 1
B02, Trade, 2307.098, 149, B02, S13, 1
B02, Trade, 2439.805, 144, S05, B02, 1
B02, Trade, 2498.561, 135, S18, B02, 1
B02, Trade, 2515.098, 131, B02, S01, 1
B02, Trade, 2576.488, 141, B02, S13, 1
B02, Trade, 2643.707, 136, S17, B02, 1
B02, Trade, 2660.317, 125, B02, S18, 1
B02, Trade, 2664.805, 121, S03, B02, 1
B02, Trade, 2684.561, 129, S06, B02, 1
B02, Trade, 2741.951, 123, S06, B02, 1
B02, Trade, 2784.585, 124, B02, S01, 1
B02, Trade, 2813.756, 118, S00, B02, 1
B02, Trade, 2845.463, 118, S19, B02, 1
B02, Trade, 2877.073, 111, B02, S16, 1
B02, Trade, 2914.098, 110, B02, S00, 1
B02, Trade, 2965.512, 103, S00, B02, 1
B02, Trade, 2982.049, 109, S01, B02, 1
B02, Trade, 3008.439, 110, S11, B02, 1
B02, Trade, 3047.341, 104, S18, B02, 1
B02, Trade, 3140.683, 110, S07, B02, 1
B02, Trade, 3156.878, 111, S07, B02, 1
B02, Trade, 3173.439, 114, B02, S12, 1
B02, Trade, 3191.659, 124, B02, S01, 1
B02, Trade, 3200.732, 127, S17, B02, 1
B02, Trade, 3249.000, 140, B02, S16, 1
B02, Trade, 3260.171, 129, S13, B02, 1
B02, Trade, 3308.000, 130, S12, B02, 1
B02, Trade, 3372.805, 132, S05, B02, 1
B02, Trade, 3539.244, 117, S13, B02, 1
B02, Trade, 3560.366, 113, S11, B02, 1
B02, Trade, 3579.537, 126, S05, B02, 1
B03, 100
B03, Trade, 2318.244, 149, S11, B03, 1
B03, Trade, 2338.171, 144, B03, S02, 1
B03, Trade, 2340.902, 145, S00, B03, 1
B03, Trade, 2345.854, 133, B03, S17, 1
B03, Trade, 2357.780, 145, S11, B03, 1
B03, Trade, 2387.293, 142, B03, S12, 1
B03, Trade, 2394.415, 144, B03, S01, 1
B03, Trade, 2410.390, 151, B03, S14, 1
B03, Trade, 2420.732, 144, B03, S18, 1
B03, Trade, 2430.268, 142, B03, S07, 1
B03, Trade, 2435.976, 147, S15, B03, 1
B03, Trade, 2455.561, 155, B03, S06, 1
B03, Trade, 2464.049, 148, B03, S17, 1
B03, Trade, 2491.976, 128, B03, S14, 1
B03, Trade, 2492.878, 143, S00, B03, 1
B03, Trade, 2521.512, 132, B03, S09, 1
B03, Trade, 2538.000, 143, S13, B03, 1
B03, Trade, 2553.732, 128, B03, S01, 1
B03, Trade, 2561.073, 132, B03, S11, 1
B03, Trade, 2568.756, 134, S17, B03, 1
B03, Trade, 2576.780, 139, B03, S07, 1
B03, Trade, 2595.244, 131, B03, S00, 1
B03, Trade, 2606.098, 130, S19, B03, 1
B03, Trade, 2619.366, 128, B03, S06, 1
B03, Trade, 2648.049, 128, B03, S08, 1
B03, Trade, 2655.024, 122, S08, B03, 1
B03, Trade, 2684.293, 122, B03, S07, 1
B03, Trade, 2692.000, 134, S14, B03, 1
B03, Trade, 2703.122, 135, B03, S14, 1
B03, Trade, 2715.098, 123, B03, S12, 1
