B01, Trade, 24892.538, 117, B01, S02, 1
B01, Trade, 24902.346, 122, B01, S03, 1
B01, Trade, 24915.423, 123, B01, S09, 1
B01, Trade, 24929.846, 119, B01, S10, 1
B01, Trade, 24936.385, 122, B01, S08, 1
B01, Trade, 24948.538, 111, B01, S04, 1
B01, Trade, 24971.423, 111, B01, S01, 1
B01, Trade, 24982.038, 122, B01, S06, 1
B01, Trade, 24990.577, 114, B01, S04, 1
B01, Trade, 24999.154, 119, B01, S03, 1
B01, Trade, 25013.308, 116, B01, S07, 1
B01, Trade, 25040.192, 125, B01, S11, 1
B01, Trade, 25047.115, 113, B01, S04, 1
B01, Trade, 25064.731, 120, B01, S05, 1
B01, Trade, 25090.577, 130, B01, S04, 1
B01, Trade, 25128.500, 127, B01, S10, 1
B01, Trade, 25137.500, 136, B01, S06, 1
B01, Trade, 25146.962, 114, B01, S05, 1
B01, Trade, 25172.692, 116, B01, S08, 1
B01, Trade, 25177.154, 118, S00, B01, 1
B01, Trade, 25187.654, 116, S05, B01, 1
B02, 100
B02, Trade, 21765.769, 117, B02, S04, 1
B02, Trade, 21820.385, 110, S01, B02, 1
B02, Trade, 21869.346, 107, S07, B02, 1
B02, Trade, 21890.500, 91, S02, B02, 1
B02, Trade, 21997.077, 110, B02, S07, 1
B02, Trade, 22018.038, 101, S08, B02, 1
B02, Trade, 22052.231, 118, S05, B02, 1
B02, Trade, 22064.577, 114, S00, B02, 1
B02, Trade, 22087.269, 119, S03, B02, 1
B02, Trade, 22109.692, 114, S00, B02, 1
B02, Trade, 22129.923, 118, S04, B02, 1
B02, Trade, 22150.115, 126, B02, S08, 1
B02, Trade, 22167.885, 116, S07, B02, 1
B02, Trade, 22205.462, 116, S08, B02, 1
B02, Trade, 22235.462, 128, S05, B02, 1
B02, Trade, 22248.500, 116, S07, B02, 1
B02, Trade, 22315.154, 116, S04, B02, 1
B02, Trade, 22338.038, 109, S02, B02, 1
B02, Trade, 22428.000, 124, S05, B02, 1
B02, Trade, 22469.462, 123, S10, B02, 1
B02, Trade, 22488.000, 118, S05, B02, 1
B02, Trade, 22525.769, 138, B02, S02, 1
B02, Trade, 22554.923, 116, S05, B02, 1
B02, Trade, 22597.538, 145, B02, S10, 1
B02, Trade, 22619.615, 133, S07, B02, 1
B02, Trade, 22648.462, 120, S05, B02, 1
B02, Trade, 22657.346, 120, S02, B02, 1
B02, Trade, 22699.308, 133, S07, B02, 1
B02, Trade, 22714.192, 123, B02, S10, 1
B02, Trade, 22718.077, 131, B02, S08, 1
B02, Trade, 22784.846, 126, S00, B02, 1
B02, Trade, 22801.346, 143, S00, B02, 1
B02, Trade, 22859.308, 138, S10, B02, 1
B02, Trade, 22886.269, 124, B02, S02, 1
B02, Trade, 22939.769, 119, S08, B02, 1
B02, Trade, 23031.654, 118, S06, B02, 1
B02, Trade, 23039.962, 118, S03, B02, 1
B02, Trade, 23050.000, 135, S01, B02, 1
B02, Trade, 23069.962, 129, S05, B02, 1
B02, Trade, 23088.154, 134, S02, B02, 1
B02, Trade, 23120.000, 134, S08, B02, 1
B02, Trade, 23147.846, 136, S11, B02, 1
B02, Trade, 23200.846, 132, S07, B02, 1
B02, Trade, 23222.731, 133, S00, B02, 1
B02, Trade, 23234.885, 129, S05, B02, 1
B02, Trade, 23296.577, 136, S04, B02, 1
B02, Trade, 23482.385, 131, B02, S02, 1
B02, Trade, 23499.769, 150, S05, B02, 1
B02, Trade, 23509.731, 150, B02, S02, 1
B02, Trade, 23535.577, 137, S08, B02, 1
B02, Trade, 23545.692, 138, S10, B02, 1
B02, Trade, 23553.692, 130, B02, S00, 1
B02, Trade, 23646.308, 125, S07, B02, 1
B02, Trade, 23686.577, 133, S01, B02, 1
B02, Trade, 23757.769, 127, S01, B02, 1
B02, Trade, 23845.462, 119, S03, B02, 1
B02, Trade, 23852.038, 130, S07, B02, 1
B02, Trade, 23855.385, 129, S04, B02, 1
B02, Trade, 23867.615, 124, S07, B02, 1
B02, Trade, 23949.846, 127, B02, S10, 1
B02, Trade, 23979.808, 126, S07, B02, 1
B02, Trade, 24014.923, 130, S03, B02, 1
B02, Trade, 24056.000, 139, S00, B02, 1
B02, Trade, 24092.154, 111, B02, S05, 1
B02, Trade, 24093.462, 111, S03, B02, 1
B02, Trade, 24102.038, 120, S05, B02, 1
B02, Trade, 24172.692, 122, S01, B02, 1
B02, Trade, 24209.192, 120, S10, B02, 1
B02, Trade, 24219.385, 113, B02, S02, 1
B02, Trade, 24221.846, 114, S00, B02, 1
B02, Trade, 24252.346, 116, S05, B02, 1
B02, Trade, 24279.423, 113, B02, S08, 1
B02, Trade, 24329.269, 126, B02, S00, 1
B02, Trade, 24337.577, 126, B02, S08, 1
B02, Trade, 24354.192, 121, S10, B02, 1
B02, Trade, 24403.115, 131, B02, S06, 1
B02, Trade, 24437.654, 120, S05, B02, 1
B02, Trade, 24446.154, 122, S04, B02, 1
B02, Trade, 24462.962, 130, B02, S02, 1
B02, Trade, 24563.077, 125, S05, B02, 1
B02, Trade, 24580.077, 122, S04, B02, 1
B02, Trade, 24619.038, 127, S03, B02, 1
B02, Trade, 24620.769, 130, S01, B02, 1
B02, Trade, 24646.423, 124, S07, B02, 1
B02, Trade, 24691.385, 126, S05, B02, 1
B02, Trade, 24726.846, 126, S06, B02, 1
B02, Trade, 24827.038, 135, B02, S01, 1
B02, Trade, 24834.808, 128, S03, B02, 1
B02, Trade, 24839.923, 128, S04, B02, 1
B02, Trade, 24868.846, 118, B02, S01, 1
B02, Trade, 24880.731, 122, S10, B02, 1
B02, Trade, 24890.115, 127, S08, B02, 1
B02, Trade, 24942.038, 120, S05, B02, 1
B02, Trade, 24970.731, 124, S05, B02, 1
B02, Trade, 24975.423, 124, S09, B02, 1
B02, Trade, 25043.346, 127, S04, B02, 1
B02, Trade, 25060.769, 122, S07, B02, 1
B02, Trade, 25074.538, 122, S07, B02, 1
B02, Trade, 25092.846, 125, B02, S08, 1
B02, Trade, 25168.538, 119, S07, B02, 1
B03, 1912
B03, Trade, 10.038, 161, S00, B03, 1
B03, Trade, 16.731, 174, S04, B03, 1
B03, Trade, 30.308, 172, B03, S10, 1
B03, Trade, 35.846, 165, S05, B03, 1
B03, Trade, 52.808, 170, B03, S11, 1
B03, Trade, 61.000, 164, S03, B03, 1
B03, Trade, 84.423, 173, B03, S00, 1
B03, Trade, 99.615, 167, B03, S00, 1
B03, Trade, 105.615, 166, S03, B03, 1
B03, Trade, 136.577, 160, B03, S02, 1
B03, Trade, 139.692, 158, S03, B03, 1
B03, Trade, 149.846, 168, S05, B03, 1
B03, Trade, 182.115, 158, S02, B03, 1
B03, Trade, 194.692, 170, S01, B03, 1
B03, Trade, 204.808, 167, S02, B03, 1
B03, Trade, 228.231, 164, B03, S01, 1
B03, Trade, 242.269, 156, B03, S04, 1
B03, Trade, 249.038, 169, B03, S05, 1
B03, Trade, 257.385, 157, S05, B03, 1
B03, Trade, 272.231, 166, S00, B03, 1
B03, Trade, 276.346, 172, S01, B03, 1
B03, Trade, 288.154, 176, B03, S02, 1
B03, Trade, 297.692, 160, S03, B03, 1
B03, Trade, 309.154, 161, B03, S02, 1
B03, Trade, 318.923, 164, B03, S05, 1
B03, Trade, 330.808, 161, B03, S00, 1
B03, Trade, 343.308, 161, S01, B03, 1
B03, Trade, 352.000, 158, S07, B03, 1
B03, Trade, 356.577, 171, S03, B03, 1
B03, Trade, 362.077, 179, S01, B03, 1
B03, Trade, 382.846, 147, S00, B03, 1
B03, Trade, 390.654, 160, S05, B03, 1
B03, Trade, 409.962, 179, S05, B03, 1
B03, Trade, 429.538, 170, S03, B03, 1
B03, Trade, 440.346, 161, B03, S06, 1
B03, Trade, 452.692, 159, S04, B03, 1
B03, Trade, 453.962, 168, B03, S11, 1
B03, Trade, 475.654, 161, S07, B03, 1
B03, Trade, 491.231, 170, S07, B03, 1
B03, Trade, 501.000, 160, B03, S04, 1
B03, Trade, 511.538, 158, S07, B03, 1
B03, Trade, 521.231, 165, S03, B03, 1
B03, Trade, 538.231, 180, B03, S07, 1
B03, Trade, 547.308, 169, S05, B03, 1
B03, Trade, 564.692, 157, B03, S08, 1
B03, Trade, 579.308, 160, B03, S09, 1
B03, Trade, 631.115, 169, B03, S04, 1
B03, Trade, 643.077, 173, S05, B03, 1
B03, Trade, 655.423, 164, S00, B03, 1
B03, Trade, 671.115, 175, B03, S08, 1
B03, Trade, 683.000, 167, S08, B03, 1
B03, Trade, 698.231, 173, S00, B03, 1
B03, Trade, 708.500, 173, S04, B03, 1
B03, Trade, 728.308, 167, B03, S00, 1
B03, Trade, 736.269, 170, S08, B03, 1
B03, Trade, 747.615, 166, S07, B03, 1
B03, Trade, 762.808, 166, S01, B03, 1
B03, Trade, 774.231, 171, S04, B03, 1
B03, Trade, 781.038, 184, B03, S10, 1
B03, Trade, 798.808, 172, S02, B03, 1
B03, Trade, 811.500, 171, S03, B03, 1
B03, Trade, 818.038, 167, S04, B03, 1
B03, Trade, 845.923, 183, B03, S09, 1
B03, Trade, 857.500, 166, B03, S10, 1
B03, Trade, 860.692, 167, B03, S00, 1
B03, Trade, 880.692, 167, B03, S01, 1
B03, Trade, 883.692, 171, S05, B03, 1
B03, Trade, 897.346, 159, B03, S05, 1
B03, Trade, 900.962, 159, S04, B03, 1
B03, Trade, 913.808, 156, B03, S00, 1
B03, Trade, 925.000, 181, B03, S02, 1
B03, Trade, 934.808, 168, B03, S07, 1
B03, Trade, 943.538, 174, B03, S08, 1
B03, Trade, 961.000, 164, S04, B03, 1
B03, Trade, 966.423, 169, B03, S01, 1
B03, Trade, 992.462, 172, S11, B03, 1
B03, Trade, 1009.231, 167, B03, S08, 1
B03, Trade, 1013.808, 177, B03, S01, 1
B03, Trade, 1023.615, 167, S01, B03, 1
B03, Trade, 1028.346, 170, B03, S10, 1
B03, Trade, 1043.769, 165, S03, B03, 1
B03, Trade, 1050.077, 166, S04, B03, 1
B03, Trade, 1065.231, 162, S10, B03, 1
B03, Trade, 1092.962, 168, S05, B03, 1
B03, Trade, 1097.962, 171, S07, B03, 1
B03, Trade, 1119.500, 159, B03, S08, 1
B03, Trade, 1125.231, 182, B03, S01, 1
B03, Trade, 1135.154, 188, B03, S02, 1
B03, Trade, 1141.769, 170, S00, B03, 1
B03, Trade, 1155.654, 155, S10, B03, 1
B03, Trade, 1171.423, 161, B03, S04, 1
B03, Trade, 1177.423, 164, S07, B03, 1
