B00, 0
B01, 0
B02, 0
B03, 0
B07, Trade, 5085.632, 123, B07, S03, 1
B07, Trade, 5168.211, 116, B07, S03, 1
B07, Trade, 5210.368, 121, B07, S00, 1
B07, Trade, 5241.789, 109, B07, S03, 1
B07, Trade, 5278.105, 127, B07, S02, 1
B07, Trade, 5299.263, 118, B07, S00, 1
B07, Trade, 5349.526, 127, B07, S04, 1
B07, Trade, 5377.947, 115, B07, S03, 1
B07, Trade, 5407.947, 127, B07, S02, 1
B07, Trade, 5449.789, 125, B07, S03, 1
B07, Trade, 5463.789, 122, B07, S02, 1
B07, Trade, 5502.474, 127, B07, S00, 1
B07, Trade, 5533.632, 125, B07, S03, 1
B07, Trade, 5549.579, 117, B07, S03, 1
B07, Trade, 5580.947, 127, B07, S04, 1
B07, Trade, 5599.263, 119, S02, B07, 1
B07, Trade, 5626.000, 123, S01, B07, 1
B07, Trade, 5678.105, 127, B07, S02, 1
B07, Trade, 5696.632, 124, B07, S00, 1
B07, Trade, 5751.895, 124, B07, S02, 1
B07, Trade, 5770.684, 120, B07, S03, 1
B07, Trade, 5825.211, 119, B07, S00, 1
B07, Trade, 5856.000, 113, S01, B07, 1
B07, Trade, 5892.526, 127, S02, B07, 1
B07, Trade, 5940.053, 122, B07, S04, 1
B07, Trade, 5994.947, 127, B07, S03, 1
B08, 100
B08, Trade, 2843.053, 128, S01, B08, 1
B08, Trade, 2875.316, 119, B08, S01, 1
B08, Trade, 2917.316, 124, B08, S00, 1
B08, Trade, 2928.526, 122, B08, S02, 1
B08, Trade, 2977.316, 127, S02, B08, 1
B08, Trade, 3005.684, 123, B08, S00, 1
B08, Trade, 3032.632, 121, B08, S02, 1
B08, Trade, 3063.263, 128, B08, S04, 1
B08, Trade, 3095.421, 117, B08, S02, 1
B08, Trade, 3122.211, 127, B08, S01, 1
B08, Trade, 3158.474, 132, B08, S01, 1
B08, Trade, 3180.474, 134, S01, B08, 1
B08, Trade, 3206.789, 122, B08, S02, 1
B08, Trade, 3225.684, 116, B08, S00, 1
B08, Trade, 3281.000, 125, B08, S00, 1
B08, Trade, 3293.632, 122, S02, B08, 1
B08, Trade, 3339.368, 134, B08, S01, 1
B08, Trade, 3356.000, 129, B08, S00, 1
B08, Trade, 3405.737, 134, B08, S00, 1
B08, Trade, 3430.737, 132, B08, S05, 1
B08, Trade, 3461.368, 127, B08, S03, 1
B08, Trade, 3468.158, 125, B08, S02, 1
B08, Trade, 3498.316, 132, B08, S04, 1
B08, Trade, 3534.895, 112, S01, B08, 1
B08, Trade, 3554.579, 114, B08, S03, 1
B08, Trade, 3624.421, 132, B08, S03, 1
B08, Trade, 3650.211, 125, B08, S02, 1
B08, Trade, 3688.684, 133, B08, S03, 1
B08, Trade, 3709.053, 132, B08, S03, 1
B08, Trade, 3741.632, 122, B08, S01, 1
B08, Trade, 3788.789, 124, B08, S00, 1
B08, Trade, 3841.526, 134, B08, S01, 1
B08, Trade, 3872.895, 134, B08, S00, 1
B08, Trade, 3903.211, 121, B08, S01, 1
B08, Trade, 3931.158, 127, B08, S04, 1
B08, Trade, 3963.842, 128, B08, S03, 1
B08, Trade, 3982.632, 127, B08, S00, 1
B08, Trade, 4034.789, 122, B08, S03, 1
B08, Trade, 4041.684, 118, S04, B08, 1
B08, Trade, 4086.421, 124, B08, S02, 1
B08, Trade, 4101.211, 114, S02, B08, 1
B08, Trade, 4143.947, 134, B08, S05, 1
B08, Trade, 4178.316, 118, B08, S02, 1
B08, Trade, 4217.789, 115, B08, S02, 1
B08, Trade, 4236.211, 129, B08, S01, 1
B08, Trade, 4244.737, 128, B08, S00, 1
B08, Trade, 4302.474, 129, B08, S00, 1
B08, Trade, 4329.789, 127, B08, S03, 1
B08, Trade, 4339.895, 124, B08, S03, 1
B08, Trade, 4363.737, 107, S03, B08, 1
B08, Trade, 4400.895, 113, B08, S02, 1
B08, Trade, 4437.789, 117, S02, B08, 1
B08, Trade, 4480.684, 132, B08, S00, 1
B08, Trade, 4508.211, 126, B08, S00, 1
B08, Trade, 4535.211, 123, B08, S02, 1
B08, Trade, 4569.842, 117, S01, B08, 1
B08, Trade, 4589.263, 129, B08, S01, 1
B08, Trade, 4638.474, 121, B08, S00, 1
B08, Trade, 4683.316, 134, B08, S01, 1
B08, Trade, 4699.000, 119, B08, S00, 1
B08, Trade, 4750.474, 131, B08, S00, 1
B08, Trade, 4755.474, 129, S05, B08, 1
B08, Trade, 4798.053, 132, B08, S05, 1
B08, Trade, 4829.579, 126, B08, S04, 1
B08, Trade, 4897.526, 132, B08, S01, 1
B08, Trade, 4931.000, 112, B08, S01, 1
B08, Trade, 4947.053, 127, B08, S03, 1
B08, Trade, 4985.842, 119, B08, S00, 1
B08, Trade, 5035.842, 113, B08, S00, 1
B08, Trade, 5059.421, 117, B08, S00, 1
B08, Trade, 5107.737, 119, B08, S01, 1
B08, Trade, 5132.895, 128, B08, S00, 1
B08, Trade, 5152.158, 128, B08, S02, 1
B08, Trade, 5201.421, 131, B08, S03, 1
B08, Trade, 5227.316, 131, B08, S01, 1
B08, Trade, 5273.684, 128, B08, S00, 1
B08, Trade, 5278.316, 127, B08, S03, 1
B08, Trade, 5303.000, 114, S01, B08, 1
B08, Trade, 5348.158, 133, B08, S00, 1
B08, Trade, 5352.842, 123, S01, B08, 1
B08, Trade, 5396.526, 130, B08, S03, 1
B08, Trade, 5445.000, 132, B08, S00, 1
B08, Trade, 5473.947, 121, B08, S01, 1
B08, Trade, 5502.368, 131, B08, S03, 1
B08, Trade, 5511.737, 127, B08, S02, 1
B08, Trade, 5566.579, 128, B08, S00, 1
B08, Trade, 5592.053, 126, B08, S03, 1
B08, Trade, 5621.263, 118, B08, S03, 1
B08, Trade, 5649.789, 124, B08, S03, 1
B08, Trade, 5672.000, 121, B08, S03, 1
B08, Trade, 5691.579, 121, S04, B08, 1
B08, Trade, 5744.526, 116, B08, S03, 1
B08, Trade, 5779.158, 126, B08, S03, 1
B08, Trade, 5795.632, 129, S02, B08, 1
B08, Trade, 5818.211, 119, S04, B08, 1
B08, Trade, 5861.053, 113, B08, S00, 1
B08, Trade, 5875.000, 116, B08, S00, 1
B08, Trade, 5923.421, 130, B08, S05, 1
B08, Trade, 5930.368, 111, S01, B08, 1
B08, Trade, 5976.842, 125, B08, S03, 1
B09, 100
B09, Trade, 2985.105, 125, S01, B09, 1
B09, Trade, 3026.579, 124, S01, B09, 1
B09, Trade, 3068.316, 128, S02, B09, 1
B09, Trade, 3097.842, 128, S05, B09, 1
B09, Trade, 3132.684, 142, B09, S05, 1
B09, Trade, 3157.842, 140, S05, B09, 1
B09, Trade, 3172.263, 142, B09, S00, 1
B09, Trade, 3207.632, 128, S05, B09, 1
B09, Trade, 3241.053, 142, B09, S03, 1
B09, Trade, 3267.526, 128, S05, B09, 1
B09, Trade, 3279.632, 142, S02, B09, 1
B09, Trade, 3320.684, 128, S05, B09, 1
B09, Trade, 3341.421, 124, S04, B09, 1
B09, Trade, 3401.684, 142, B09, S03, 1
B09, Trade, 3411.368, 133, S01, B09, 1
B09, Trade, 3439.895, 142, B09, S02, 1
B09, Trade, 3468.263, 128, S05, B09, 1
B09, Trade, 3494.632, 142, B09, S00, 1
B09, Trade, 3521.421, 125, S02, B09, 1
